名称,英文名,分类,品质,耗电量,占地尺寸（x*y）,"物品输入口及朝向（x,y）","物品输出口及朝向（x,y）","管道输入口及朝向（x,y）","管道输出口及朝向（x,y）",备注/放置限制
协议核心,Automation-Core,功能设备,灰色,-200,9*9,"1,0U 2,0U 3,0U 4,0U 5,0U 6,0U 7,0U 1,8D 2,8D 3,8D 4,8D 5,8D 6,8D 7,8D","0,1L 0,4L 0,7L 8,1R 8,4R 8,7R",,,自带200发电，所以耗电量为负。每个出口可以自己选定任意物品从仓库取用输出
物品准入口,Item Control Port,物流,绿色,,1*1,"0,0U","0,0D",,,可以筛选并且计数通过的物品，可以设定通数量上限（1到5000）。与选定物品不同的物品或者通过数量达到上限会阻碍其继续通行。未设定物品则无效果（当做普通传送带）
分流器,Splitter,物流,绿色,,1*1,"0,0L","0,0U 0,0R 0,0D",,,
物流桥,Belt Bridge,物流,绿色,,1*1,,,,,当两个垂直的传送带相交时自动放置，并且匹配对应传送带的物流方向设定物品出入口。两条传送带可以互不干扰独立运行
汇流器,Converger,物流,绿色,,1*1,"0,0L 0,0U 0,0D","0,0R",,,
管道准入口,Pipe Control Port,物流,绿色,,1*1,,,"0,0U","0,0D",可以筛选并且计数通过的液体，可以设定通数量上限（1到5000）。与选定物品不同的物品或者通过数量达到上限会阻碍其继续通行。未设定物品则无效果（当做普通传管道）
管道分流器,Pipe Splitter,物流,绿色,,1*1,,,"0,0L","0,0U 0,0R 0,0D",
管道桥,Pipe Bridge,物流,绿色,,1*1,,,,,当两个垂直的管道带相交时自动放置，并且匹配对应传管道的物流方向设定物品出入口。两条管道可以互不干扰独立运行
管道汇流器,Pipe Converger,物流,绿色,,1*1,,,"0,0L 0,0U 0,0D","0,0R",
传送带,Belt,物流,灰色,,1*1,,,,,2s/物品
管道,Pipe,物流,灰色,,1*1,,,,,2液体/s
协议储藏箱,Protocol Stash,仓库存取,灰色,,3*3,"0,0U 1,0U 2,0U","0,2D 1,2D 2,2D",,,拥有6个物品格，可连接任意出入口
仓库存货口,Depot Loader,仓库存取,蓝色,,1*3,"0,1L",,,,后背（出入口的对侧）必须与仓库存取线基段或者仓库存取线源桩相连，物品会存入仓库
仓库取货口,Depot Unloader,仓库存取,蓝色,,1*3,,"0,1R",,,后背（出入口的对侧）必须与仓库存取线基段或者仓库存取线源桩相连，可选定任意物品从仓库取用输出
