生产设施,原料,产物,生产时间
灌装机,"*瓶子,*液体",*瓶子(*液体),2
拆解机,*瓶子(*液体),"*瓶子,*液体",2
种植机,荞花种子,荞花,2
种植机,柑实种子,柑实,2
种植机,砂叶种子,砂叶,2
种植机,酮化树种,酮化灌木,2
种植机,"锦草种子,清水",2锦草,2
种植机,"芽针种子,清水",2芽针,2
采种机,荞花,2荞花种子,2
采种机,柑实,2柑实种子,2
采种机,砂叶,2砂叶种子,2
采种机,酮化灌木,2酮化树种,2
采种机,锦草,锦草种子,2
采种机,芽针,芽针种子,2
精炼炉,蓝铁矿,蓝铁块,2
精炼炉,蓝铁粉末,蓝铁块,2
精炼炉,紫晶矿,紫晶纤维,2
精炼炉,紫晶粉末,紫晶纤维,2
精炼炉,源矿,晶体外壳,2
精炼炉,晶体外壳粉末,晶体外壳,2
精炼炉,致密晶体粉末,密制晶体,2
精炼炉,致密蓝铁粉末,钢块,2
精炼炉,高晶粉末,高晶纤维,2
精炼炉,致密碳粉末,稳定碳块,2
精炼炉,致密源石粉末,致密晶体粉末,2
精炼炉,源石粉末,晶体外壳粉末,2
精炼炉,荞花,碳块,2
精炼炉,柑实,碳块,2
精炼炉,砂叶,碳块,2
精炼炉,锦草,2碳块,2
精炼炉,芽针,2碳块,2
精炼炉,荞花粉末,碳粉末,2
精炼炉,柑实粉末,碳粉末,2
精炼炉,3砂叶粉末,3碳粉末,2
精炼炉,锦草粉末,2碳粉末,2
精炼炉,芽针粉末,2碳粉末,2
精炼炉,细磨荞花粉末,致密碳粉末,2
精炼炉,细磨柑实粉末,致密碳粉末,2
精炼炉,"赤铜矿,清水","赤铜块,污水",2
粉碎机,赤铜块,赤铜粉末,2
粉碎机,蓝铁块,蓝铁粉末,2
粉碎机,紫晶纤维,紫晶粉末,2
粉碎机,源矿,源石粉末,2
粉碎机,碳块,2碳粉末,2
粉碎机,晶体外壳,晶体外壳粉末,2
粉碎机,荞花,2荞花粉末,2
粉碎机,柑实,2柑实粉末,2
粉碎机,砂叶,3砂叶粉末,2
粉碎机,酮化灌木,2酮化灌木粉末,2
粉碎机,锦草,2锦草粉末,2
粉碎机,芽针,2芽针粉末,2
配件机,蓝铁块,铁制零件,2
配件机,紫晶纤维,紫晶零件,2
配件机,钢块,钢制零件,2
配件机,高晶纤维,高晶零件,2
配件机,赤铜块,赤铜零件,2
配件机,5赫铜块,赫铜零件,10
塑形机,2蓝铁块,蓝铁瓶,2
塑形机,2紫晶纤维,紫晶质,2
塑形机,2钢块,钢质瓶,2
塑形机,2高晶纤维,高晶质瓶,2
塑形机,2赤铜块,赤铜瓶,2
塑形机,2赫铜块,赫铜瓶,2
废水处理机,壞晶废液,,2
废水处理机,惰性壞晶废液,,2
废水处理机,污水,,2
装备原件机,"5晶体外壳,5紫晶纤维",紫晶装备原件,10
装备原件机,"10晶体外壳,10蓝铁块",蓝铁装备原件,10
装备原件机,"10密制晶体,10高晶纤维",高晶装备原件,10
装备原件机,"10密制晶体,10息壤",息壞装备原件,10
装备原件机,"10赤铜零件,10息壤",赤铜装备原件,10
装备原件机,"2赫铜零件,2重息壤",赫铜装备原件,10
灌装机,"5紫晶质瓶,5柑实粉末",柑实罐头,10
灌装机,"10蓝铁瓶,10柑实粉末",优质柑实罐头,10
灌装机,"10钢质瓶,10细磨柑实粉末",精选柑实罐头,10
灌装机,"5紫晶质瓶,5荞花粉末",荞愈胶囊,10
灌装机,"10蓝铁瓶,10荞花粉末",优质荞愈胶囊,10
灌装机,"10钢质瓶,10细磨荞花粉末",精选荞愈胶囊,10
封装机,"5紫晶零件,酮化灌木粉末",工业爆炸物,10
封装机,"5紫晶零件,10源石粉末",低容谷地电池,10
封装机,"10铁制零件,15源石粉末",中容谷地电池,10
封装机,"10钢制零件,15致密源石粉末",高容谷地电池,10
封装机,"10铁制零件,5蓝铁瓶(芽针溶液)",芽针针剂,10
封装机,"10赤铜零件,5赤铜瓶(芽针溶液)",优质芽针针剂,10
封装机,"10铁制零件,5蓝铁瓶(锦草溶液)",锦草软饮,10
封装机,"10赤铜零件,5赤铜瓶(锦草溶液)",优质锦草软饮,10
封装机,"5息壤,15致密源石粉末",低容武陵电池,10
封装机,"5壞晶,20致密源石粉末",中容武陵电池,10
研磨机,"2蓝铁粉末,砂叶粉末",致密蓝铁粉末,2
研磨机,"2紫晶粉末,砂叶粉末",高晶粉末,2
研磨机,"2源石粉末,砂叶粉末",致密源石粉末,2
研磨机,"2碳粉末,砂叶粉末",致密碳粉末,2
研磨机,"2晶体外壳粉末,砂叶粉末",致密晶体粉末,2
研磨机,"2荞花粉末,砂叶粉末",细磨荞花粉末,2
研磨机,"2柑实粉末,砂叶粉末",细磨柑实粉末,2
"反应池,扩容反应池","锦草粉末,清水",锦草溶液,2
"反应池,扩容反应池","芽针粉末,清水",芽针溶液,2
"反应池,扩容反应池","息壤,清水",液化息壞,2
"反应池,扩容反应池","重息壤,沉积酸",液化重息壞,2
"反应池,扩容反应池","赤铜粉末,沉积酸",赤铜溶液,2
"反应池,扩容反应池","液化息壞,污水","壞晶废液,惰性壞晶废液",2
"反应池,扩容反应池","2壞晶废液,蓝铁粉末","壞晶,污水",2
"反应池,扩容反应池","2赫铜溶液,蓝铁粉末","赤铜块,污水",2
天有洪炉,"2稳定碳块,清水",息壤,2
天有洪炉,10息壤，5壞晶废液,重息壤,10
天有洪炉,"驮兽粪便,液化息壞",膨地啪,2
提纯机,4惰性壞晶废液,"壞晶废液,清水",2
提纯机,4赤铜溶液,"赫铜溶液,沉积酸",2
