名称,英文名称,物品分类,仓库分类,稀有度,是否液体/可否排放,发电量,
源矿,Originium Ore,自然资源,矿物,灰色,,50/5s,源头产物/发电
紫晶矿,Amethyst Ore,自然资源,矿物,灰色,,,源头产物
蓝铁矿,Ferrium Ore,自然资源,矿物,灰色,,,源头产物
赤铜矿,Cuprium Ore,自然资源,矿物,灰色,,,源头产物
荞花,Buckflower,自然资源,植物,灰色,,,可循环
荞花种子,Buckflower Seed,自然资源,植物,灰色,,,可循环
柑实,Citrome,自然资源,植物,灰色,,,可循环
柑实种子,Citrome Seed,自然资源,植物,灰色,,,可循环
砂叶,Sandleaf,自然资源,植物,灰色,,,可循环
砂叶种子,Sandleaf Seed,自然资源,植物,灰色,,,可循环
酮化灌木,Aketine,自然资源,植物,灰色,,,可循环
酮化树种,Aketine Seed,自然资源,植物,灰色,,,可循环
锦草,Jincao,自然资源,植物,灰色,,,可循环
锦草种子,Jincao Seed,自然资源,植物,灰色,,,可循环
芽针,Yazhen,自然资源,植物,灰色,,,可循环
芽针种子,Yazhen Seed,自然资源,植物,灰色,,,可循环
清水,Clean Water,自然资源,,灰色,液体/可排放,,源头产物
驮兽粪便,Burdo-Muck,采集材料,采集材料,灰色,,,
沉积酸,Precipitation Acid,自然资源,,灰色,液体/可排放,,源头产物
锦草溶液,Jincao Solution,工业产物,产物,蓝色,液体/可排放,,
芽针溶液,Yazhen Solution,工业产物,产物,蓝色,液体/可排放,,
液化息壞,Liquid Xiranite,工业产物,产物,蓝色,液体/可排放,,
液化重息壞,Liquid Heavy Xiranite,工业产物,产物,蓝色,液体/可排放,,
壞晶废液,Xircon Effluent,工业产物,产物,蓝色,液体/不可排放,,
惰性壞晶废液,Inert Xirconn Effluent,工业产物,产物,蓝色,液体/不可排放,,
赤铜溶液,Cuprium Solution,工业产物,产物,蓝色,液体/不可排放,,
赫铜溶液,Hetonite Solution,工业产物,产物,蓝色,液体/不可排放,,
污水,Sewage,工业产物,产物,蓝色,液体/不可排放,,
碳块,Carbon,工业产物,产物,绿色,,,
晶体外壳,Origocrust,工业产物,产物,绿色,,,
紫晶纤维,Anhethyst Fiber,工业产物,产物,绿色,,,
蓝铁块,Ferrium,工业产物,产物,绿色,,,
赤铜块,Cuprium,工业产物,产物,绿色,,,
稳定碳块,Stabilized Carbon,工业产物,产物,蓝色,,,
密制晶体,Packed Origocrust,工业产物,产物,蓝色,,,
高晶纤维,Cryston Fiber,工业产物,产物,蓝色,,,
钢块,Steel,工业产物,产物,蓝色,,,
赫铜块,Hetonite,工业产物,产物,蓝色,,,
膨地啪,Bumper-Rich,工业产物,产物,蓝色,,,终端产物
息壞,Xiranite,工业产物,产物,绿色,,,
重息壞,Heavy Xiranite,工业产物,产物,蓝色,,,
壞晶,Xircon,工业产物,产物,蓝色,,,
碳粉末,Carbon Powder,工业产物,产物,绿色,,,
源石粉末,Originium Powder,工业产物,产物,绿色,,,
晶体外壳粉末,Origocrust Powder,工业产物,产物,绿色,,,
紫晶粉末,Amethyst Powder,工业产物,产物,绿色,,,
蓝铁粉末,Ferrium Powder,工业产物,产物,绿色,,,
赤铜粉末,Cuprium Powder,工业产物,产物,绿色,,,
